"","pred","AIC","pred_coef","pred_coef_pval","auc","adj_pred_coef_pval","summary","mechanism"
"1","mean_EnvRisk","2771.13825444915","76.5162102825398","3.52786183321895e-13","0.704863948369166","5.99736511647222e-12","mean","EnvRisk"
"2","max_EnvRisk","2735.1579210825","18.2872269881018","3.86064240741553e-31","0.719479956052965","6.5630920926064e-30","max","EnvRisk"
"3","mean_PhenomEnvRisk","2764.50773161484","101.575011381343","2.60177808430989e-17","0.775659994920716","4.42302274332681e-16","mean","PhenomEnvRisk"
"4","max_PhenomEnvRisk","2731.52553145254","22.9253999337206","9.56093156346266e-37","0.791570807603421","1.62535836578865e-35","max","PhenomEnvRisk"
"5","mean_ImmEnvRisk","2800.72710896787","102.017068991695","0.0141620134030464","0.597330497810617","0.240754227851788","mean","ImmEnvRisk"
"6","max_ImmEnvRisk","2786.48824928352","27.8249356422738","1.34912125891384e-10","0.63663208737853","2.29350614015353e-09","max","ImmEnvRisk"
"7","mean_PopRisk","2805.17524669438","-0.048744696328701","0.70444951009581","0.518121219240129","1","mean","PopRisk"
"8","max_PopRisk","2802.8251031662","0.0025258112924624","0.0189625545550023","0.639225252496544","0.322363427435039","max","PopRisk"
