"","coefficient","value"
"1","T0",19.1115616547359
"2","Tm",47.0704200614108
"3","c",-0.00262329966496026
"4","muT",0.0119821515689775
"5","mu0",2.36100491719217
"6","sigma0",-0.992033992975907
"7","sigmaT",-0.0197712167334044
