107.79825542447202, 16.007891104327935, F
183.50853026680727, 27.29311647357814, G
258.35119953602396, 33.112248118147676, H
341.75011147275757, 30.229766114426358, I
425.37648730110266, 26.57600301917756, J
506.32632703234987, 23.159213417859082, K
598.4506508101289, 22.29811924440411, L
804.8850467233971, 4.7884255754113045, 4
622.6704867220301, 0.4033153680061717, 3
81.76057037169392, 179.81868484730097, D
142.09249147153582, 174.50413917735628, C
198.2152715949877, 177.94080740001567, B
254.89475057067511, 181.99342896191106, A
1072.0758625839126, 146.12861732132123, 2
0, 0, E
