"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.56547479228987,0.433221457190584,-5.92185532297228,3.18329621417025e-09
"lagged_pct_rainfall",1.99618935961511,0.728835730732687,2.73887417348265,0.00616499631292502
"pct_rainfall",1.5827621570606,0.708846079907388,2.23287142572248,0.0255574244035999
