system:index,CD_GEOCMU,NM_MUNICIP,mean,.geo
00000b09c5988c824018,3508603,CACHOEIRA PAULISTA,3.0,
0000c95502746d7b4b51,3509957,CANAS,3.0,
000055772cc7f2d1861e,3513405,CRUZEIRO,3.0,
000020fbd78f25a21cf2,3503505,AREIAS,3.0,
000026b926f6ea0b82d2,3549607,SÃO JOSÉ DO BARREIRO,3.0,
0000531782247235db2a,3302254,ITATIAIA,3.0,
000050175e28f926f179,3541901,QUELUZ,3.0,
00002581fa36dbd69bbe,3147600,PASSA QUATRO,3.0,
0000edd0d5a682c49c36,3133105,ITANHANDU,3.0,
0000fa1b3c7888720b2c,3526605,LAVRINHAS,3.0,
0000e93162b04c7b9085,3164902,SÃO SEBASTIÃO DO RIO VERDE,3.0,
00004cf9200038cd798e,3152600,POUSO ALTO,3.0,
00001235a8fe7b661033,3133006,ITAMONTE,3.0,
000075d0744b5fe36c22,3104908,BAEPENDI,3.0,
000023cca4a427a7caaa,3101300,ALAGOA,3.0,
0000b63b9f1974c8c95e,3115508,CAXAMBU,3.0,
0000950725b52d9bf5b1,3163706,SÃO LOURENÇO,3.0,
0000cb1ad13b92bdfd1b,3167806,SOLEDADE DE MINAS,3.0,
00002af2ff871010cd39,3117702,CONCEIÇÃO DO RIO VERDE,3.0,
00006a24c6587545a439,3165206,SÃO THOMÉ DAS LETRAS,3.0,
0000bf2930691e9a2b75,3120805,CRUZÍLIA,3.0,
0000f5cc9ec81cd1d8ed,3101201,AIURUOCA,3.0,
0000c4d6f2677988b742,3107208,BOCAINA DE MINAS,3.0,
0000f71a5dbec6c9e5ce,3114808,CARVALHOS,3.0,
0000dfb80129fac5d80c,3167004,SERRANOS,3.0,
0000cddae263530ccb4c,3166402,SERITINGA,3.0,
00006a1a553d94b20b04,3138500,LIBERDADE,3.0,
0000596a96537ec30615,3304110,PORTO REAL,3.0,
0000257596884046eaea,3304128,QUATIS,3.0,
000063605761a7cbcde1,3306305,VOLTA REDONDA,3.0,
0000354a25d392506587,3303955,PINHEIRAL,3.0,
0000bb847d8df08e9027,3159308,SANTA RITA DE JACUTINGA,3.0,
0000b7089bedb583f058,3107505,BOM JARDIM DE MINAS,3.0,
000059d786c2d6b0f8f8,3147808,PASSA VINTE,3.0,
0000d700049352342a7b,3103603,ARANTINA,3.0,
000078fe29a91a6cfb0a,3102803,ANDRELÂNDIA,3.0,
000060f47a9f5f9b858a,3165305,SÃO VICENTE DE MINAS,3.0,
0000dd4aee8d47cdb50b,3145406,OLARIA,3.0,
0000c31b32f7fa459430,3158706,SANTANA DO GARAMBÉU,3.0,
0000892854e1d0a21342,3159407,SANTA RITA DE IBITIPOCA,3.0,
0000f74700b4fa142257,3129400,IBERTIOGA,3.0,
00008af2e0fa61204cd1,3150307,PIEDADE DO RIO GRANDE,3.0,
0000a5d62406115c0b4e,3139102,MADRE DE DEUS DE MINAS,3.0,
00007ddbe5d77655547c,3162500,SÃO JOÃO DEL REI,3.0,
00005f707796fb754b0f,3114600,CARRANCAS,3.0,
000007f34a7eb0e8b9f0,3144508,NAZARENO,3.012233993762615,
000062af58fc7b07d57f,3134509,ITUTINGA,3.0,
000091ff7d7882738b45,3141900,MINDURI,3.0,
000035e9584e357eea79,3138708,LUMINÁRIAS,2.997826001955036,
00005369356d7848a414,3130804,INGAÍ,2.9395477913906443,
000053677203702db071,3138203,LAVRAS,1.9429222321471853,
00005e8d771da3fa2811,3134301,ITUMIRIM,2.895513183772794,
00005bfe6d00fe35e094,3130002,IBITURUNA,2.593376806035033,
0000b21ae8a10a365e9f,3130408,IJACI,1.9955737400037195,
00006af3ed9289036fdc,3108008,BOM SUCESSO,2.031194879247417,
00004d1522ae30d43ba1,3149903,PERDÕES,2.0179438982070566,
00004c555662bcfea5d1,3159902,SANTO ANTÔNIO DO AMPARO,2.321782613913671,
0000015584715d7e4c03,3158805,SANTANA DO JACARÉ,3.0,
00007ad466b5eed330ae,3115201,CONCEIÇÃO DA BARRA DE MINAS,3.0,
0000c50f4c6b30aa1d7b,3165008,SÃO TIAGO,1.6459651952809946,
0000a1b8b642ba18b47e,3156106,RITÁPOLIS,2.9039074728969783,
00002fe37dd4dd5c4d04,3145604,OLIVEIRA,2.769608954131,
00001e8d2aac67bdc3b4,3154200,RESENDE COSTA,2.1149625225339195,
00005409e0d56b4d9aa6,3147709,PASSA TEMPO,2.0982313793417817,
00005ea240793ceb1e13,3114501,CARMÓPOLIS DE MINAS,2.9999608893756,
0000bf23de0a9483e5a7,3114006,CARMO DA MATA,3.0,
000078fa402d3f441a64,3161205,SÃO FRANCISCO DE PAULA,3.0,
00004ce6595a5464b8d0,3133501,ITAPECERICA,3.0,
